OBJECTID,town,work
1,板橋市,0.3584
2,三重市,0.3615
3,中和市,0.3517
4,永和市,0.3711
5,新莊市,0.3725
6,新店市,0.3837
7,樹林市,0.4098
8,鶯歌鎮,0.4156
9,三峽鎮,0.4929
10,淡水鎮,0.3394
11,汐止市,0.3773
12,瑞芳鎮,0.481
13,土城市,0.3944
14,蘆洲市,0.4139
15,五股鄉,0.4126
16,泰山鄉,0.3441
17,林口鄉,0.433
18,深坑鄉,0.3875
19,石碇鄉,0.3539
20,坪林鄉,0.5383
21,三芝鄉,0.4425
22,石門鄉,0.447
23,八里鄉,0.423
24,平溪鄉,0.5022
25,雙溪鄉,0.4904
26,貢寮鄉,0.4873
27,金山鄉,0.4775
28,萬里鄉,0.4645
29,烏來鄉,0.4233
30,宜蘭市,0.4332
31,羅東鎮,0.479
32,蘇澳鎮,0.4238
33,頭城鎮,0.4398
34,礁溪鄉,0.5108
35,壯圍鄉,0.5206
36,員山鄉,0.5398
37,冬山鄉,0.4689
38,五結鄉,0.4884
39,三星鄉,0.4554
40,大同鄉,0.4995
41,南澳鄉,0.5557
42,桃園市,0.4221
43,中壢市,0.4013
44,大溪鎮,0.4674
45,楊梅鎮,0.4552
46,蘆竹鄉,0.4093
47,大園鄉,0.4393
48,龜山鄉,0.3112
49,八德市,0.447
50,龍潭鄉,0.4402
51,平鎮市,0.4219
52,新屋鄉,0.5207
53,觀音鄉,0.4641
54,復興鄉,0.5042
55,竹北市,0.4713
56,竹東鎮,0.5018
57,新埔鎮,0.5037
58,關西鎮,0.4871
59,湖口鄉,0.4084
60,新豐鄉,0.4442
61,芎林鄉,0.5036
62,橫山鄉,0.5826
63,北埔鄉,0.5892
64,寶山鄉,0.5695
65,峨眉鄉,0.6069
66,尖石鄉,0.5138
67,五峰鄉,0.4397
68,苗栗市,0.4511
69,苑裡鎮,0.5288
70,通霄鎮,0.5445
71,竹南鎮,0.4437
72,頭份鎮,0.4397
73,後龍鎮,0.4799
74,卓蘭鎮,0.505
75,大湖鄉,0.5923
76,公館鄉,0.5611
77,銅鑼鄉,0.5515
78,南庄鄉,0.5578
79,頭屋鄉,0.5199
80,三義鄉,0.5186
81,西湖鄉,0.615
82,造橋鄉,0.4419
83,三灣鄉,0.5964
84,獅潭鄉,0.6388
85,泰安鄉,0.5083
86,豐原市,0.4368
87,東勢鎮,0.47
88,大甲鎮,0.4736
89,清水鎮,0.4478
90,沙鹿鎮,0.4172
91,梧棲鎮,0.4348
92,后里鄉,0.4234
93,神岡鄉,0.435
94,潭子鄉,0.4295
95,大雅鄉,0.4216
96,新社鄉,0.3949
97,石岡鄉,0.4671
98,外埔鄉,0.4856
99,大安鄉,0.4942
100,烏日鄉,0.4035
101,大肚鄉,0.4519
102,龍井鄉,0.4563
103,霧峰鄉,0.4286
104,太平市,0.4209
105,大里市,0.4016
106,和平鄉,0.4515
107,彰化市,0.4316
108,鹿港鎮,0.48
109,和美鎮,0.4413
110,線西鄉,0.4831
111,伸港鄉,0.4706
112,福興鄉,0.4754
113,秀水鄉,0.4978
114,花壇鄉,0.4627
115,芬園鄉,0.4956
116,員林鎮,0.4429
117,溪湖鎮,0.5098
118,田中鎮,0.5014
119,大村鄉,0.4033
120,埔鹽鄉,0.5176
121,埔心鄉,0.476
122,永靖鄉,0.4895
123,社頭鄉,0.4852
124,二水鄉,0.4938
125,北斗鎮,0.4712
126,二林鎮,0.4938
127,田尾鄉,0.5386
128,埤頭鄉,0.5011
129,芳苑鄉,0.4718
130,大城鄉,0.4687
131,竹塘鄉,0.5093
132,溪州鄉,0.4959
133,南投市,0.4703
134,埔里鎮,0.4621
135,草屯鎮,0.4565
136,竹山鎮,0.481
137,集集鎮,0.4647
138,名間鄉,0.5166
139,鹿谷鄉,0.5455
140,中寮鄉,0.5142
141,魚池鄉,0.5255
142,國姓鄉,0.5095
143,水里鄉,0.491
144,信義鄉,0.565
145,仁愛鄉,0.4936
146,斗六市,0.4418
147,斗南鎮,0.4852
148,虎尾鎮,0.4158
149,西螺鎮,0.5111
150,土庫鎮,0.4888
151,北港鎮,0.466
152,古坑鄉,0.5031
153,大埤鄉,0.4976
154,莿桐鄉,0.4584
155,林內鄉,0.4944
156,二崙鄉,0.5003
157,崙背鄉,0.4355
158,麥寮鄉,0.3541
159,東勢鄉,0.4809
160,褒忠鄉,0.4614
161,臺西鄉,0.4805
162,元長鄉,0.4927
163,四湖鄉,0.5005
164,口湖鄉,0.4978
165,水林鄉,0.5362
166,太保市,0.5102
167,朴子市,0.5088
168,布袋鎮,0.4752
169,大林鎮,0.4266
170,民雄鄉,0.4067
171,溪口鄉,0.5209
172,新港鄉,0.5088
173,六腳鄉,0.5478
174,東石鄉,0.485
175,義竹鄉,0.5404
176,鹿草鄉,0.4312
177,水上鄉,0.4043
178,中埔鄉,0.46
179,竹崎鄉,0.4863
180,梅山鄉,0.5096
181,番路鄉,0.4996
182,大埔鄉,0.4093
183,阿里山鄉,0.4344
184,新營市,0.4552
185,鹽水鎮,0.4947
186,白河鎮,0.5035
187,柳營鄉,0.4674
188,後壁鄉,0.5121
189,東山鄉,0.5089
190,麻豆鎮,0.4778
191,下營鄉,0.5035
192,六甲鄉,0.4685
193,官田鄉,0.3987
194,大內鄉,0.4017
195,佳里鎮,0.4638
196,學甲鎮,0.4407
197,西港鄉,0.4881
198,七股鄉,0.5583
199,將軍鄉,0.5117
200,北門鄉,0.4292
201,新化鎮,0.398
202,善化鎮,0.477
203,新市鄉,0.4072
204,安定鄉,0.4753
205,山上鄉,0.4512
206,玉井鄉,0.5039
207,楠西鄉,0.4824
208,南化鄉,0.511
209,左鎮鄉,0.5563
210,仁德鄉,0.3551
211,歸仁鄉,0.3592
212,關廟鄉,0.4323
213,龍崎鄉,0.5242
214,永康市,0.3857
215,鳳山市,0.3585
216,林園鄉,0.4093
217,大寮鄉,0.3962
218,大樹鄉,0.4025
219,大社鄉,0.3868
220,仁武鄉,0.3702
221,鳥松鄉,0.3537
222,岡山鎮,0.3951
223,橋頭鄉,0.4102
224,燕巢鄉,0.3727
225,田寮鄉,0.5213
226,阿蓮鄉,0.4007
227,路竹鄉,0.3957
228,湖內鄉,0.3829
229,茄萣鄉,0.4012
230,永安鄉,0.3921
231,彌陀鄉,0.4391
232,梓官鄉,0.3849
233,旗山鎮,0.4238
234,美濃鎮,0.521
235,六龜鄉,0.4814
236,甲仙鄉,0.4822
237,杉林鄉,0.4941
238,內門鄉,0.393
239,茂林鄉,0.5251
240,桃源鄉,0.4914
241,三民鄉,0.5542
242,屏東市,0.4116
