town,da
板橋區,42.27
三重區,34.95
中和區,44.51
永和區,52.86
新莊區,37.17
新店區,47.66
樹林區,36.54
鶯歌區,28.91
三峽區,30.89
淡水區,49.55
汐止區,48.05
瑞芳區,18.33
土城區,33.81
蘆洲區,35.92
五股區,32.32
泰山區,46.94
林口區,46.71
深坑區,41.56
石碇區,32.29
坪林區,12.64
三芝區,24.34
石門區,15.13
八里區,28.87
平溪區,9.83
雙溪區,12.49
貢寮區,13.72
金山區,17.04
萬里區,15.81
烏來區,19.78
松山區,64.7
信義區,55.82
大安區,70.8
中山區,57.36
中正區,60.86
大同區,45.45
萬華區,39.25
文山區,60.84
南港區,48.04
內湖區,57.52
士林區,52.23
北投區,52.25
七堵區,29.74
暖暖區,35.18
仁愛區,29.99
中山區,26.39
安樂區,32.4
信義區,36.37
東區,57.02
北區,40.94
香山區,42.74
宜蘭市,34.99
羅東鎮,30.71
蘇澳鎮,18.93
頭城鎮,20.8
礁溪鄉,25.46
壯圍鄉,15.13
員山鄉,20.16
冬山鄉,22.19
五結鄉,18.43
三星鄉,12.17
大同鄉,7.98
南澳鄉,14.92
桃園市,43.59
中壢市,44.59
大溪鎮,26.86
楊梅市,34.87
蘆竹鄉,37.26
大園鄉,24.47
龜山鄉,42.51
八德市,31.23
龍潭鄉,37.19
平鎮市,34.65
新屋鄉,22.3
觀音鄉,23.13
復興鄉,9.91
竹北市,51.73
竹東鎮,38.49
新埔鎮,29.04
關西鎮,25.51
湖口鄉,39.63
新豐鄉,35.99
芎林鄉,36.88
橫山鄉,24.01
北埔鄉,20.68
寶山鄉,36.44
峨眉鄉,23.31
尖石鄉,10.81
五峰鄉,8.09
中區,34.16
東區,39.62
南區,51.24
西區,51.84
北區,48.62
西屯區,50.88
南屯區,48.01
北屯區,42.75
豐原區,31.78
東勢區,20.22
大甲區,24.28
清水區,24.91
沙鹿區,35.73
梧棲區,28.98
后里區,25.44
神岡區,25.4
潭子區,32.05
大雅區,34.55
新社區,24.35
石岡區,19.34
外埔區,18.19
大安區,15.58
烏日區,35.77
大肚區,28.29
龍井區,30.02
霧峰區,36.19
太平區,31.35
大里區,35.24
和平區,14.07
苗栗市,32.6
苑裡鎮,17.69
通霄鎮,14.33
竹南鎮,36.78
頭份鎮,33.62
後龍鎮,19.15
卓蘭鎮,12.56
大湖鄉,12.02
公館鄉,22.25
銅鑼鄉,20.37
南庄鄉,11.54
頭屋鄉,19.71
三義鄉,19.32
西湖鄉,13.32
造橋鄉,33.84
三灣鄉,18.61
獅潭鄉,8.83
泰安鄉,8.41
彰化市,35.43
鹿港鎮,24.53
和美鎮,26.7
線西鄉,18.4
伸港鄉,19.26
福興鄉,16.23
秀水鄉,23.38
花壇鄉,24.58
芬園鄉,20.77
員林鎮,31.23
溪湖鎮,22.86
田中鎮,20.72
大村鄉,25.92
埔鹽鄉,20.46
埔心鄉,20.43
永靖鄉,22.2
社頭鄉,21.26
二水鄉,13.58
北斗鎮,24.08
二林鎮,14.44
田尾鄉,18.49
埤頭鄉,21.41
芳苑鄉,7.6
大城鄉,7.73
竹塘鄉,10.68
溪州鄉,13.05
南投市,28.57
埔里鎮,23.55
草屯鎮,27.06
竹山鎮,14.75
集集鎮,22.74
名間鄉,17.44
鹿谷鄉,12.42
中寮鄉,9.68
魚池鄉,13.06
國姓鄉,9.32
水里鄉,12.54
信義鄉,8.03
仁愛鄉,8.74
斗六市,33.37
斗南鎮,23.3
虎尾鎮,31.32
西螺鎮,15.85
土庫鎮,12.57
北港鎮,19.84
古坑鄉,16.86
大埤鄉,13.49
莿桐鄉,14.61
林內鄉,16.36
二崙鄉,11.59
崙背鄉,12.55
麥寮鄉,13.48
東勢鄉,9.02
褒忠鄉,12.15
臺西鄉,10.55
元長鄉,10.56
四湖鄉,9.56
口湖鄉,8.95
水林鄉,9.64
東區,48.87
南區,31.85
北區,39.54
安南區,28.25
安平區,37.69
中西區,43.66
新營區,33.11
鹽水區,24.46
白河區,17.38
柳營區,23.09
後壁區,17.54
東山區,13.96
麻豆區,30.34
下營區,22.29
六甲區,22.27
官田區,32.32
大內區,19.34
佳里區,27.86
學甲區,21.29
西港區,21.85
七股區,13.5
將軍區,12.66
北門區,14.49
新化區,29.38
善化區,34.8
新市區,36.36
安定區,25.99
山上區,19.63
玉井區,15.1
楠西區,8.55
南化區,9.94
左鎮區,11.15
仁德區,37.08
歸仁區,32.77
關廟區,22.48
龍崎區,9.04
永康區,38.12
鹽埕區,33.67
鼓山區,45.22
左營區,42.67
楠梓區,45.04
三民區,40.21
新興區,47.29
前金區,42.13
苓雅區,42.94
前鎮區,33.35
旗津區,18.55
小港區,29.7
鳳山區,36.28
林園區,22.34
大寮區,24.62
大樹區,28.73
大社區,29.95
仁武區,31.57
鳥松區,44.01
岡山區,34.75
橋頭區,30.77
燕巢區,35.64
田寮區,13.16
阿蓮區,23.99
路竹區,32.69
湖內區,24.96
茄萣區,22.34
永安區,21.15
彌陀區,19.37
梓官區,23.41
旗山區,23.66
美濃區,18.93
六龜區,8.38
甲仙區,8.31
杉林區,7.56
內門區,19.68
茂林區,12.71
桃源區,15.25
那瑪夏區,17.44
東區,38.63
西區,30.01
太保市,20.55
朴子市,23.4
布袋鎮,12.27
大林鎮,27.69
民雄鄉,34.11
溪口鄉,11.7
新港鄉,16.84
六腳鄉,12.68
東石鄉,8.17
義竹鄉,14.24
鹿草鄉,8.8
水上鄉,23.13
中埔鄉,18.35
竹崎鄉,13.99
梅山鄉,13.96
番路鄉,16.71
大埔鄉,10.52
阿里山鄉,15.73
屏東市,36.1
潮州鎮,24.74
東港鎮,18.79
恆春鎮,15.26
萬丹鄉,19.49
長治鄉,26.89
麟洛鄉,29.64
九如鄉,19.75
里港鄉,18.83
鹽埔鄉,18.39
高樹鄉,11.17
萬巒鄉,18.48
內埔鄉,30.68
竹田鄉,17.22
新埤鄉,11.42
枋寮鄉,13.99
新園鄉,16.53
崁頂鄉,15.42
林邊鄉,17.65
南州鄉,15.58
佳冬鄉,16.93
琉球鄉,8.81
車城鄉,13.75
滿州鄉,11.26
枋山鄉,13.34
三地門鄉,10.91
霧臺鄉,10.66
瑪家鄉,15.63
泰武鄉,10.72
來義鄉,9.28
春日鄉,11.15
獅子鄉,8.83
牡丹鄉,14.06
馬公市,26.85
湖西鄉,14.64
白沙鄉,14.14
西嶼鄉,10.21
望安鄉,14.03
七美鄉,11.96
臺東市,25.97
成功鎮,11.13
關山鎮,13.25
卑南鄉,16.01
鹿野鄉,8.07
池上鄉,9.88
東河鄉,6.68
長濱鄉,6.31
太麻里鄉,10.37
大武鄉,10.67
綠島鄉,16.28
海端鄉,10.98
延平鄉,12.89
金峰鄉,11.67
達仁鄉,10.31
蘭嶼鄉,13.92
花蓮市,40.95
鳳林鎮,14.3
玉里鎮,19.46
新城鄉,29.43
吉安鄉,28.61
壽豐鄉,31.54
光復鄉,12.12
豐濱鄉,8.61
瑞穗鄉,10.96
富里鄉,8.24
秀林鄉,12.63
萬榮鄉,10.43
卓溪鄉,12.17
中正區,31.39
