town,ratio
板橋區,95.2
三重區,97.9
中和區,95.6
永和區,94.6
新莊區,96.2
新店區,96.3
樹林區,99.8
鶯歌區,104.4
三峽區,98.1
淡水區,97.3
汐止區,97
瑞芳區,97.6
土城區,96.3
蘆洲區,96.8
五股區,99.8
泰山區,102.2
林口區,96.8
深坑區,100.1
石碇區,115.5
坪林區,114.5
三芝區,102.5
石門區,117.5
八里區,103.3
平溪區,104.1
雙溪區,101.8
貢寮區,110.5
金山區,101.6
萬里區,104.4
烏來區,102.3
松山區,87.9
信義區,89.9
大安區,90.7
中山區,88.3
中正區,96.1
大同區,90.7
萬華區,95.8
文山區,93.1
南港區,99
內湖區,90.6
士林區,93.6
北投區,96.1
七堵區,96.2
暖暖區,100
仁愛區,97.2
中山區,97.5
安樂區,95.4
信義區,98.3
東區,100.6
北區,101.3
香山區,108
宜蘭市,103.3
羅東鎮,92
蘇澳鎮,129.6
頭城鎮,103.5
礁溪鄉,101.6
壯圍鄉,106.9
員山鄉,105
冬山鄉,98.7
五結鄉,99.9
三星鄉,115.9
大同鄉,111.8
南澳鄉,110.1
桃園市,97.2
中壢市,99.1
大溪鎮,105.6
楊梅市,102.8
蘆竹鄉,102.2
大園鄉,107.1
龜山鄉,106.7
八德市,102.9
龍潭鄉,104.4
平鎮市,103.5
新屋鄉,111
觀音鄉,108.7
復興鄉,113.3
竹北市,103
竹東鎮,100
新埔鎮,111.8
關西鎮,128
湖口鄉,114
新豐鄉,107.9
芎林鄉,104.2
橫山鄉,115.9
北埔鄉,116.2
寶山鄉,111.7
峨眉鄉,115.5
尖石鄉,111.3
五峰鄉,116.8
中區,96.8
東區,94.1
南區,96.1
西區,91.4
北區,88.7
西屯區,92.1
南屯區,99.7
北屯區,94.4
豐原區,97.9
東勢區,103.9
大甲區,99.3
清水區,106.7
沙鹿區,96.9
梧棲區,102.2
后里區,108.2
神岡區,105.8
潭子區,96.7
大雅區,106.8
新社區,133.1
石岡區,103.4
外埔區,101.3
大安區,106.2
烏日區,116.3
大肚區,100.1
龍井區,99.6
霧峰區,100.7
太平區,100.7
大里區,99.8
和平區,131.4
苗栗市,105.4
苑裡鎮,99.2
通霄鎮,102.7
竹南鎮,100.3
頭份鎮,104.7
後龍鎮,96.7
卓蘭鎮,103.1
大湖鄉,108.5
公館鄉,101.1
銅鑼鄉,109.3
南庄鄉,109.2
頭屋鄉,101.7
三義鄉,101.8
西湖鄉,103.5
造橋鄉,90.9
三灣鄉,109.4
獅潭鄉,108.4
泰安鄉,118.8
彰化市,98.5
鹿港鎮,102.2
和美鎮,102.2
線西鄉,103.3
伸港鄉,107.7
福興鄉,109.1
秀水鄉,105.3
花壇鄉,102.6
芬園鄉,104.9
員林鎮,96.7
溪湖鎮,99.1
田中鎮,107.8
大村鄉,101.3
埔鹽鄉,107.9
埔心鄉,101.1
永靖鄉,100
社頭鄉,99.7
二水鄉,101.4
北斗鎮,98.3
二林鎮,115.8
田尾鄉,104.7
埤頭鄉,104.4
芳苑鄉,102.2
大城鄉,105.4
竹塘鄉,98.3
溪州鄉,107.3
南投市,97.4
埔里鎮,96.3
草屯鎮,98.3
竹山鎮,99.1
集集鎮,124.9
名間鄉,105.7
鹿谷鄉,103
中寮鄉,107.1
魚池鄉,109.1
國姓鄉,106.1
水里鄉,101.6
信義鄉,106.5
仁愛鄉,111
斗六市,98
斗南鎮,102.2
虎尾鎮,111.5
西螺鎮,102.4
土庫鎮,103.9
北港鎮,107.1
古坑鄉,104
大埤鄉,102.8
莿桐鄉,108.7
林內鄉,102
二崙鄉,106.3
崙背鄉,104.2
麥寮鄉,109.7
東勢鄉,102.3
褒忠鄉,107.5
臺西鄉,105.5
元長鄉,107.9
四湖鄉,102.7
