OBJECTID,town,young
1,板橋區,0.1416
2,三重區,0.1412
3,中和區,0.1327
4,永和區,0.1309
5,新莊區,0.1585
6,新店區,0.1308
7,樹林區,0.1755
8,鶯歌區,0.1657
9,三峽區,0.1883
10,淡水區,0.1437
11,汐止區,0.1602
12,瑞芳區,0.1498
13,土城區,0.1485
14,蘆洲區,0.1725
15,五股區,0.1669
16,泰山區,0.1834
17,林口區,0.1814
18,深坑區,0.1634
19,石碇區,0.1124
20,坪林區,0.1478
21,三芝區,0.1577
22,石門區,0.1661
23,八里區,0.1757
24,平溪區,0.1113
25,雙溪區,0.1293
26,貢寮區,0.1499
27,金山區,0.1777
28,萬里區,0.1616
29,烏來區,0.1895
30,松山區,0.1272
31,信義區,0.1092
32,大安區,0.1137
33,中山區,0.1085
34,中正區,0.1132
35,大同區,0.1253
36,萬華區,0.1177
37,文山區,0.1309
38,南港區,0.1394
39,內湖區,0.1424
40,士林區,0.1238
41,北投區,0.1241
42,中正區,0.1178
43,七堵區,0.1434
44,暖暖區,0.1537
45,仁愛區,0.1198
46,中山區,0.1366
47,安樂區,0.1606
48,信義區,0.1377
49,東區,0.1713
50,北區,0.1733
51,香山區,0.1658
52,宜蘭市,0.1549
53,羅東鎮,0.1777
54,蘇澳鎮,0.1279
55,頭城鎮,0.1669
56,礁溪鄉,0.147
57,壯圍鄉,0.1746
58,員山鄉,0.1618
59,冬山鄉,0.1759
60,五結鄉,0.1706
61,三星鄉,0.1296
62,大同鄉,0.2562
63,南澳鄉,0.2822
64,桃園市,0.1833
65,中壢市,0.1672
66,大溪鎮,0.1732
67,楊梅市,0.176
68,蘆竹鄉,0.1833
69,大園鄉,0.1877
70,龜山鄉,0.1436
71,八德市,0.1604
72,龍潭鄉,0.1495
73,平鎮市,0.1642
74,新屋鄉,0.1735
75,觀音鄉,0.172
76,復興鄉,0.208
77,竹北市,0.2272
78,竹東鎮,0.1994
79,新埔鎮,0.1456
80,關西鎮,0.1525
81,湖口鄉,0.1478
82,新豐鄉,0.1746
83,芎林鄉,0.1847
84,橫山鄉,0.1578
85,北埔鄉,0.1627
86,寶山鄉,0.1813
87,峨眉鄉,0.1394
88,尖石鄉,0.2625
89,五峰鄉,0.2259
90,中區,0.1334
91,東區,0.1601
92,南區,0.1633
93,西區,0.1503
94,北區,0.1397
95,西屯區,0.1658
96,南屯區,0.1935
97,北屯區,0.1754
98,豐原區,0.1621
99,東勢區,0.1558
100,大甲區,0.164
101,清水區,0.163
102,沙鹿區,0.1836
103,梧棲區,0.1811
104,后里區,0.1606
105,神岡區,0.1584
106,潭子區,0.169
107,大雅區,0.1793
108,新社區,0.1635
109,石岡區,0.1849
110,外埔區,0.1884
111,大安區,0.1845
112,烏日區,0.1502
113,大肚區,0.1769
114,龍井區,0.178
115,霧峰區,0.1372
116,太平區,0.1594
117,大里區,0.1691
118,和平區,0.143
119,苗栗市,0.16
120,苑裡鎮,0.1748
121,通霄鎮,0.1614
122,竹南鎮,0.1758
123,頭份鎮,0.1675
124,後龍鎮,0.1691
125,卓蘭鎮,0.1595
126,大湖鄉,0.1728
127,公館鄉,0.1665
128,銅鑼鄉,0.1522
129,南庄鄉,0.1906
130,頭屋鄉,0.1568
131,三義鄉,0.171
132,西湖鄉,0.1584
133,造橋鄉,0.1403
134,三灣鄉,0.1652
135,獅潭鄉,0.1446
136,泰安鄉,0.2173
137,彰化市,0.1669
138,鹿港鎮,0.1885
139,和美鎮,0.1705
140,線西鄉,0.1747
141,伸港鄉,0.1849
142,福興鄉,0.1607
143,秀水鄉,0.1836
144,花壇鄉,0.1668
145,芬園鄉,0.1737
146,員林鎮,0.1716
147,溪湖鎮,0.1868
148,田中鎮,0.1602
149,大村鄉,0.1549
150,埔鹽鄉,0.1736
151,埔心鄉,0.1733
152,永靖鄉,0.182
153,社頭鄉,0.1758
154,二水鄉,0.1506
155,北斗鎮,0.1727
156,二林鎮,0.1462
157,田尾鄉,0.1783
158,埤頭鄉,0.1731
159,芳苑鄉,0.1471
160,大城鄉,0.1846
161,竹塘鄉,0.1747
162,溪州鄉,0.1781
163,南投市,0.1541
164,埔里鎮,0.1786
165,草屯鎮,0.1577
166,竹山鎮,0.1619
167,集集鎮,0.1628
168,名間鄉,0.17
169,鹿谷鄉,0.155
170,中寮鄉,0.1652
171,魚池鄉,0.1706
172,國姓鄉,0.1791
173,水里鄉,0.1643
174,信義鄉,0.2969
175,仁愛鄉,0.2373
176,斗六市,0.1677
177,斗南鎮,0.1708
178,虎尾鎮,0.1728
179,西螺鎮,0.1917
180,土庫鎮,0.177
181,北港鎮,0.1569
182,古坑鄉,0.1675
183,大埤鄉,0.1744
184,莿桐鄉,0.1693
185,林內鄉,0.1749
186,二崙鄉,0.1773
187,崙背鄉,0.184
188,麥寮鄉,0.221
189,東勢鄉,0.1603
190,褒忠鄉,0.1678
191,臺西鄉,0.1851
192,元長鄉,0.1593
193,四湖鄉,0.1637
194,口湖鄉,0.1937
195,水林鄉,0.1657
196,東區,0.1606
197,南區,0.1238
198,北區,0.1492
199,安南區,0.1543
200,安平區,0.1778
201,中西區,0.1242
202,新營區,0.1504
203,鹽水區,0.1305
204,白河區,0.1337
205,柳營區,0.1273
206,後壁區,0.1466
207,東山區,0.1512
208,麻豆區,0.1386
209,下營區,0.1455
210,六甲區,0.1578
211,官田區,0.1227
212,大內區,0.142
213,佳里區,0.1474
214,學甲區,0.1278
215,西港區,0.1499
216,七股區,0.1346
217,將軍區,0.144
218,北門區,0.151
219,新化區,0.1368
220,善化區,0.168
221,新市區,0.1335
222,安定區,0.1528
223,山上區,0.1149
224,玉井區,0.153
225,楠西區,0.1475
226,南化區,0.139
227,左鎮區,0.1169
228,仁德區,0.1268
229,歸仁區,0.1356
230,關廟區,0.1316
231,龍崎區,0.0862
232,永康區,0.1488
233,鹽埕區,0.1157
234,鼓山區,0.1456
235,左營區,0.1693
236,楠梓區,0.1474
237,三民區,0.1366
238,新興區,0.1176
239,前金區,0.1117
240,苓雅區,0.1179
241,前鎮區,0.1515
242,旗津區,0.1531
243,小港區,0.1554
244,鳳山區,0.1544
245,林園區,0.1614
246,大寮區,0.1451
247,大樹區,0.1619
248,大社區,0.1524
249,仁武區,0.1555
250,鳥松區,0.1364
251,岡山區,0.1481
252,橋頭區,0.1482
253,燕巢區,0.1119
254,田寮區,0.1048
255,阿蓮區,0.1484
256,路竹區,0.1537
257,湖內區,0.1457
258,茄萣區,0.1286
259,永安區,0.161
260,彌陀區,0.173
261,梓官區,0.1509
262,旗山區,0.1371
263,美濃區,0.1516
264,六龜區,0.1661
265,甲仙區,0.1583
266,杉林區,0.1513
267,內門區,0.1281
268,茂林區,0.2177
269,桃源區,0.2484
270,那瑪夏區,0.2912
271,東區,0.1619
272,西區,0.1693
273,太保市,0.1963
274,朴子市,0.164
275,布袋鎮,0.1671
276,大林鎮,0.1293
277,民雄鄉,0.1538
278,溪口鄉,0.1545
279,新港鄉,0.1963
280,六腳鄉,0.1464
281,東石鄉,0.1482
282,義竹鄉,0.1395
283,鹿草鄉,0.1086
284,水上鄉,0.154
285,中埔鄉,0.1615
286,竹崎鄉,0.1522
287,梅山鄉,0.1436
288,番路鄉,0.1733
289,大埔鄉,0.1672
290,阿里山鄉,0.1752
291,屏東市,0.1449
292,潮州鎮,0.1547
293,東港鎮,0.1853
294,恆春鎮,0.2005
295,萬丹鄉,0.1628
296,長治鄉,0.1555
297,麟洛鄉,0.1364
298,九如鄉,0.1732
299,里港鄉,0.1614
300,鹽埔鄉,0.1359
301,高樹鄉,0.1602
302,萬巒鄉,0.1434
303,內埔鄉,0.1452
304,竹田鄉,0.1168
305,新埤鄉,0.15
306,枋寮鄉,0.1838
307,新園鄉,0.1723
308,崁頂鄉,0.1765
309,林邊鄉,0.161
310,南州鄉,0.1505
311,佳冬鄉,0.1546
312,琉球鄉,0.1872
313,車城鄉,0.1794
314,滿州鄉,0.2005
315,枋山鄉,0.1805
316,三地門鄉,0.2358
317,霧臺鄉,0.0993
318,瑪家鄉,0.2333
319,泰武鄉,0.2034
320,來義鄉,0.2079
321,春日鄉,0.2191
322,獅子鄉,0.2122
323,牡丹鄉,0.1789
324,馬公市,0.1613
325,湖西鄉,0.1431
326,白沙鄉,0.1492
327,西嶼鄉,0.1547
328,望安鄉,0.1029
329,七美鄉,0.19
330,臺東市,0.1696
331,成功鎮,0.1896
332,關山鎮,0.2083
333,卑南鄉,0.1574
334,鹿野鄉,0.1674
335,池上鄉,0.1874
336,東河鄉,0.1208
337,長濱鄉,0.1605
338,太麻里鄉,0.1959
339,大武鄉,0.2524
340,綠島鄉,0.1472
341,海端鄉,0.2661
342,延平鄉,0.2708
343,金峰鄉,0.2452
344,達仁鄉,0.2111
345,蘭嶼鄉,0.2297
346,花蓮市,0.1502
347,鳳林鎮,0.1343
348,玉里鎮,0.1721
349,新城鄉,0.1561
350,吉安鄉,0.1593
351,壽豐鄉,0.1273
352,光復鄉,0.1603
353,豐濱鄉,0.1637
354,瑞穗鄉,0.194
355,富里鄉,0.1844
356,秀林鄉,0.314
357,萬榮鄉,0.2629
358,卓溪鄉,0.2514
